,OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,LEVEL,ENROLLMENT,ST_GRADE,END_GRADE,DISTRICTID,FT_TEACHER
0,1,170000000000.0,,9604 ILLINOIS ST,HEBRON,,60034,9618,,1,1,,MCHENRY,17111,USA,,-88.43101038,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=170330000017,10/13/2009 0:00,IMAGERY/OTHER,8/27/2010 0:00,NOT AVAILABLE,HIGH,112,9,12,1703300,11
1,2,370000000000.0,123,4420 DENVER AVE,CHARLOTTE,NC,28208,3699,(980) 343-6021,1,1,540,MECKLENBURG,37119,USA,35.23190937,-80.91150129,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=370297001287,12/10/2009 0:00,IMAGERY/OTHER,8/22/2016 0:00,http://schools.cms.k12.nc.us/westerlyhillsES,ELEMENTARY,495,KG,8,3702970,45
2,3,180000000000.0,NORTHWOOD ELEMENTARY SCHOOL,965 GRIZZLY CUB DR,FRANKLIN,IN,46131,1364,(317) 346-8900,1,1,503,JOHNSON,18081,USA,39.48975255,-86.06242987,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=180369000584,10/13/2009 0:00,IMAGERY/OTHER,8/2/2010 0:00,NOT AVAILABLE,ELEMENTARY,478,PK,4,1803690,25
3,4,40187003479.0,DR. GARY AND ANNETTE AUXIER ELEMENTARY SCHOOL,22700 S. POWER RD.,QUEEN CREEK,AZ,85298,None,(480) 812-7000,1,1,1009,MARICOPA,4013,USA,33.24288824,-111.687306,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=040187003479,10/23/2018 0:00,IMAGERY/OTHER,10/24/2018 0:00,NOT AVAILABLE,ELEMENTARY,958,PK,6,401870,51
4,5,40187003483.0,DR. CAMILLE CASTEEL HIGH SCHOOL,24901 S. POWER RD.,QUEEN CREEK,AZ,85142,None,(480) 424-8100,1,1,2409,MARICOPA,4013,USA,33.22217014,-111.6837684,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=040187003483,10/23/2018 0:00,IMAGERY/OTHER,10/24/2018 0:00,NOT AVAILABLE,HIGH,2294,7,12,401870,115
5,6,40378003490.0,BRIDGES ELEMENTARY SCHOOL,5205 S. SOBOBA ST,GILBERT,AZ,85298,None,(480) 279-7000,1,1,743,MARICOPA,4013,USA,33.2558117,-111.7060432,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=040378003490,10/23/2018 0:00,IMAGERY/OTHER,10/24/2018 0:00,NOT AVAILABLE,ELEMENTARY,708,KG,6,403780,35
6,7,40432003480.0,LAS BRISAS ACADEMY,18211 W LAS BRISAS DRIVE,GOODYEAR,AZ,85338,None,(623) 327-2860,1,1,489,MARICOPA,4013,USA,33.4095317,-112.4514133,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=040432003480,10/23/2018 0:00,IMAGERY/OTHER,10/24/2018 0:00,NOT AVAILABLE,ELEMENTARY,463,KG,8,404320,26
7,8,40582003492.0,MANSON MESA HIGH SCHOOL,500 SOUTH NAVAJO,PAGE,AZ,86040,None,(928) 608-4100,1,1,41,COCONINO,4005,USA,36.91252264,-111.4582647,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=040582003492,10/23/2018 0:00,IMAGERY/OTHER,10/24/2018 0:00,NOT AVAILABLE,HIGH,39,9,12,405820,2
8,9,40681003477.0,GATEWAY POLYTECHNIC ACADEMY,5149 S. SIGNAL BUTTE RD.,MESA,AZ,85212,None,(480) 987-5935,1,1,936,MARICOPA,4013,USA,33.32372361,-111.5996533,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=040681003477,10/23/2018 0:00,IMAGERY/OTHER,10/24/2018 0:00,NOT AVAILABLE,ELEMENTARY,888,PK,8,406810,48
9,10,60143213940.0,PARAMOUNT COLLEGIATE ACADEMY,4010 EL CAMINO AVE.,SACRAMENTO,CA,95821,6602,(916) 484-1480,1,1,77,SACRAMENTO,6067,USA,38.60986795,-121.370272,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=060143213940,10/23/2018 0:00,IMAGERY/OTHER,10/24/2018 0:00,http://www.pcaeducation.org,HIGH,76,6,12,601432,1
