,sepal_length,sepal_width,petal_length,petal_width,species,col_date
0,5.1,test_data,1.4,0.2,setosa,2021-11-07
1,4.9,3.0,1.4,0.2,setosa,2021-11-07
2,4.7,3.2,1.3,0.2,setosa,2021-11-07
3,4.6,3.1,1.5,0.2,setosa,2021-11-07
4,5.0,3.6,1.4,0.2,setosa,2021-11-07
5,5.4,3.9,1.7,0.4,setosa,2021-11-07
6,4.6,3.4,1.4,0.3,setosa,2021-11-07
7,5.0,3.4,1.5,0.2,setosa,2021-11-07
8,4.4,2.9,1.4,0.2,setosa,2021-11-07
9,4.9,3.1,1.5,0.1,setosa,2021-11-07
10,5.4,3.7,1.5,0.2,setosa,2021-11-07
11,4.8,3.4,1.6,0.2,setosa,2021-11-07
12,4.8,3.0,1.4,0.1,setosa,2021-11-07
13,4.3,3.0,1.1,0.1,setosa,2021-11-07
14,5.8,4.0,1.2,0.2,setosa,2021-11-07
15,5.7,4.4,1.5,0.4,setosa,2021-11-07
16,5.4,3.9,1.3,0.4,setosa,2021-11-07
17,5.1,3.5,1.4,0.3,setosa,2021-11-07
18,5.7,3.8,1.7,0.3,setosa,2021-11-07
19,5.1,3.8,1.5,0.3,setosa,2021-11-07
20,5.4,3.4,1.7,0.2,setosa,2021-11-07
21,5.1,3.7,1.5,0.4,setosa,2021-11-07
22,4.6,3.6,1.0,0.2,setosa,2021-11-07
23,5.1,3.3,1.7,0.5,setosa,2021-11-07
24,4.8,3.4,1.9,0.2,setosa,2021-11-07
25,5.0,3.0,1.6,0.2,setosa,2021-11-07
26,5.0,3.4,1.6,0.4,setosa,2021-11-07
27,5.2,3.5,1.5,0.2,setosa,2021-11-07
28,5.2,3.4,1.4,0.2,setosa,2021-11-07
29,4.7,3.2,1.6,0.2,setosa,2021-11-07
30,4.8,3.1,1.6,0.2,setosa,2021-11-07
31,5.4,3.4,1.5,0.4,setosa,2021-11-07
32,5.2,4.1,1.5,0.1,setosa,2021-11-07
33,5.5,4.2,1.4,0.2,setosa,2021-11-07
34,4.9,3.1,1.5,0.2,setosa,2021-11-07
